Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
chr1	75161533	75128434	LHX8_ENSG00000162624	+
chr1	168314426	168281040	TBX19_ENSG00000143178	+
chr1	77979110	77944055	FUBP1_ENSG00000162613	-
chr1	155018522	155002630	ZBTB7B_ENSG00000160685	+
chr1	118989556	118883046	TBX15_ENSG00000092607	-
chr1	200177424	200027602	NR5A2_ENSG00000116833	+
chr1	165445355	165400917	RXRG_ENSG00000143171	-
chr1	165356715	165201867	LMX1A_ENSG00000162761	-
chr1	170739419	170662728	PRRX1_ENSG00000116132	+
chr1	161964070	161766294	ATF6_ENSG00000118217	+
chr1	156500828	156463727	MEF2D_ENSG00000116604	-
chr1	212699985	212686418	BATF3_ENSG00000123685	-
chr1	212620777	212565334	ATF3_ENSG00000162772	+
chr1	244057476	244048939	ZBTB18_ENSG00000179456	+
chr1	160372848	160367067	NHLH1_ENSG00000171786	+
chr1	63325126	63323041	FOXD3_ENSG00000187140	+
chr1	151831872	151806071	RORC_ENSG00000143365	-
chr1	157138474	157121191	ETV3_ENSG00000117036	-
chr1	37859620	37809567	MTF1_ENSG00000188786	-
chr1	61462793	60865259	NFIA_ENSG00000162599	+
chr1	164899296	164555584	PBX1_ENSG00000185630	+
chr1	161238302	161229666	NR1I3_ENSG00000143257	-
chr1	38046794	38044611	POU3F1_ENSG00000185668	-
chr1	167427345	167220829	POU2F1_ENSG00000143190	+
chr1	205631962	205597556	ELK4_ENSG00000158711	-
chr1	53738106	53506237	GLIS1_ENSG00000174332	-
chr1	161045977	161039251	USF1_ENSG00000158773	-
chr1	217137755	216503246	ESRRG_ENSG00000196482	-
chr1	214041502	213983181	PROX1_ENSG00000117707	+
chr1	150876768	150809705	ARNT_ENSG00000143437	-
chr1	226227054	226223618	MIXL1_ENSG00000185155	+
chr1	180278982	180230286	LHX4_ENSG00000121454	+
chr1	58784327	58780788	JUN_ENSG00000177606	-
chr1	2530245	2528745	HES5_ENSG00000197921	-
chr1	151347357	151340640	RFX5_ENSG00000143390	-
chr1	202017188	202007945	ELF3_ENSG00000163435	+
chr1	197935478	197911902	LHX9_ENSG00000143355	+
chr1	24965121	24899511	RUNX3_ENSG00000020633	-
chr1	90717237	90711539	BARHL2_ENSG00000143032	-
chr1	40771603	40691648	NFYC_ENSG00000066136	+
chr1	42335877	42176539	FOXJ3_ENSG00000198815	-
chr1	47440691	47436017	FOXD2_ENSG00000186564	+
chr1	204127743	204073115	SOX13_ENSG00000143842	+
chr1	203086036	203083132	MYOG_ENSG00000122180	-
chr1	47232220	47216290	TAL1_ENSG00000162367	-
chr1	46514226	46506996	DMBX1_ENSG00000197587	+
chr1	110070700	110059994	ALX3_ENSG00000156150	-
